country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
benin,4.957,5.283,5.631,5.999,6.39,6.804,7.244,7.709,8.202,8.723,9.275,9.856,10.47,11.118,11.801,12.519,13.275,14.069,14.903,15.776,16.691,17.647,18.648,19.689,20.775,21.904,23.079,24.293,25.552,26.676,27.339,28.01,28.692,29.384,30.086,30.796,31.517,32.246,32.985,33.73,34.485,35.247,35.827,36.136,36.447,36.758,37.071,37.385,37.699,38.015,38.333,38.65,39.036,39.536,40.039,40.543,41.049,41.558,42.069,42.58,43.093,43.608,44.125,44.642,45.166,45.695,46.229,46.768,47.312,47.861,48.415,48.972,49.534,50.1,50.669,51.241,51.816,52.393,52.973,53.555,54.138,54.722,55.306,55.891,56.475,57.059,57.64,58.219,58.794,59.362,59.931,60.496,61.059,61.619,62.176,62.73,63.28,63.827,64.371,64.91,65.446
burkina faso,3.837,3.916,3.996,4.078,4.162,4.247,4.335,4.423,4.514,4.606,4.7,4.796,4.893,4.993,5.095,5.198,5.303,5.411,5.52,5.632,5.746,5.861,5.98,6.1,6.222,6.347,6.668,7.151,7.668,8.218,8.805,9.428,10.091,10.796,11.544,12.334,12.832,13.072,13.316,13.563,13.815,14.07,14.33,14.593,14.86,15.131,15.407,15.875,16.51,17.166,17.844,18.54,19.258,19.996,20.757,21.537,22.339,22.996,23.534,24.079,24.633,25.196,25.767,26.346,26.934,27.53,28.134,28.743,29.358,29.98,30.607,31.24,31.877,32.52,33.166,33.817,34.471,35.129,35.789,36.451,37.115,37.781,38.447,39.113,39.779,40.444,41.106,41.767,42.423,43.075,43.721,44.358,44.999,45.642,46.286,46.932,47.578,48.226,48.874,49.522,50.171
cabo verde,14.2,14.433,14.67,14.91,15.152,15.399,15.648,15.901,16.157,16.416,16.679,16.948,17.224,17.503,17.787,18.073,18.363,18.657,18.954,19.255,19.559,19.9,20.272,20.649,21.031,21.419,21.812,22.209,22.612,23.02,23.518,24.995,26.535,28.133,29.792,31.5,33.885,36.355,38.902,41.504,44.12,45.044,45.973,46.902,47.834,48.768,49.704,50.637,51.572,52.505,53.435,54.291,55.146,55.997,56.846,57.689,58.529,59.363,60.194,61.016,61.821,62.322,62.821,63.317,63.81,64.3,64.784,65.261,65.732,66.195,66.652,67.102,67.545,67.982,68.412,68.835,69.252,69.662,70.065,70.461,70.851,71.235,71.612,71.982,72.346,72.703,73.054,73.398,73.736,74.067,74.392,74.711,75.027,75.34,75.651,75.959,76.265,76.567,76.867,77.165,77.459
ivory coast,9.962,10.534,11.136,11.766,12.428,13.121,13.848,14.606,15.4,16.507,17.679,18.911,20.21,21.575,23.007,24.5,25.206,25.926,26.659,27.404,28.163,28.934,29.719,30.513,31.321,32.229,33.594,34.983,36.4,36.614,36.829,37.044,37.26,37.476,37.693,37.91,38.127,38.346,38.608,38.976,39.345,39.716,40.088,40.461,40.835,41.21,41.587,41.964,42.342,42.741,43.155,43.568,43.983,44.399,44.817,45.234,45.652,46.071,46.491,46.91,47.33,47.751,48.172,48.593,49.014,49.444,49.881,50.326,50.779,51.239,51.706,52.18,52.661,53.149,53.644,54.144,54.65,55.163,55.68,56.203,56.73,57.261,57.797,58.336,58.878,59.422,59.969,60.517,61.065,61.613,62.157,62.701,63.241,63.778,64.312,64.842,65.369,65.892,66.41,66.925,67.436
gambia,10.265,10.439,10.616,10.796,10.978,11.163,11.351,11.541,11.734,11.93,12.129,12.331,12.535,12.862,13.677,14.533,15.433,16.379,17.373,18.41,19.496,20.63,21.814,22.941,23.675,24.426,25.193,25.974,26.772,27.585,28.414,29.256,30.113,31.008,32.007,33.019,34.049,35.094,36.155,37.226,38.312,39.41,40.52,41.586,42.472,43.362,44.258,45.155,46.057,46.961,47.868,48.775,49.683,50.555,51.288,52.02,52.751,53.481,54.211,54.937,55.662,56.384,57.105,57.82,58.528,59.228,59.918,60.599,61.27,61.931,62.582,63.222,63.852,64.472,65.08,65.678,66.264,66.839,67.402,67.954,68.494,69.023,69.539,70.044,70.536,71.016,71.483,71.937,72.378,72.805,73.229,73.648,74.063,74.474,74.881,75.283,75.681,76.075,76.464,76.849,77.229
ghana,15.444,16.124,16.83,17.557,18.31,19.089,19.893,20.72,21.573,22.452,23.252,23.797,24.352,24.915,25.488,26.067,26.656,27.254,27.86,28.473,28.958,29.174,29.392,29.61,29.829,30.049,30.27,30.492,30.714,30.938,31.163,31.388,31.614,31.842,32.209,32.896,33.591,34.293,35.004,35.719,36.441,37.17,37.905,38.644,39.39,40.14,40.896,41.654,42.418,43.184,43.929,44.601,45.275,45.951,46.63,47.308,47.988,48.669,49.351,50.031,50.713,51.394,52.073,52.748,53.419,54.086,54.749,55.407,56.06,56.707,57.349,57.985,58.615,59.238,59.854,60.463,61.065,61.659,62.244,62.822,63.39,63.95,64.5,65.041,65.571,66.091,66.599,67.094,67.586,68.075,68.56,69.041,69.518,69.991,70.459,70.923,71.383,71.838,72.289,72.736,73.178
guinea,6.711,7.022,7.346,7.683,8.035,8.402,8.784,9.181,9.594,10.024,10.472,10.936,11.418,11.919,12.439,12.978,13.537,14.116,14.716,15.336,15.977,16.641,17.327,18.033,18.763,19.515,20.291,21.087,21.907,22.75,23.617,24.503,25.414,26.072,26.346,26.621,26.898,27.178,27.459,27.741,28.026,28.312,28.601,28.89,29.182,29.475,29.77,30.052,30.323,30.595,30.869,31.144,31.42,31.698,31.977,32.257,32.539,32.822,33.106,33.391,33.678,33.966,34.255,34.545,34.836,35.141,35.46,35.793,36.14,36.5,36.875,37.264,37.668,38.085,38.517,38.963,39.423,39.897,40.386,40.888,41.405,41.935,42.479,43.036,43.606,44.189,44.783,45.39,46.006,46.632,47.264,47.9,48.537,49.173,49.811,50.448,51.085,51.722,52.358,52.993,53.628
guinea-bissau,10.014,10.33,10.657,10.991,11.335,11.688,12.051,12.423,12.805,13.197,13.6,13.747,13.895,14.045,14.197,14.349,14.503,14.658,14.815,14.972,15.132,15.293,15.455,15.618,15.783,15.95,16.118,16.287,16.457,16.77,17.804,18.883,20.013,21.194,22.426,23.704,25.034,26.413,27.841,29.312,30.83,32.39,33.271,33.635,34.002,34.371,34.742,35.114,35.488,35.865,36.243,36.622,37.004,37.387,37.772,38.157,38.545,38.934,39.325,39.716,40.111,40.508,40.908,41.31,41.715,42.123,42.533,42.945,43.36,43.777,44.196,44.617,45.041,45.466,45.893,46.322,46.752,47.185,47.618,48.053,48.489,48.927,49.365,49.804,50.243,50.683,51.123,51.562,52.002,52.441,52.88,53.318,53.756,54.193,54.63,55.066,55.501,55.935,56.368,56.801,57.232
liberia,12.97,13.462,13.971,14.495,15.035,15.592,16.167,16.756,17.364,17.989,18.632,19.291,19.969,20.664,21.378,22.108,22.856,23.622,24.407,25.207,26.025,26.86,27.713,28.581,29.47,30.382,31.311,32.252,33.209,34.181,35.167,36.163,37.173,38.194,39.834,42.373,44.956,47.567,50.195,52.814,55.422,58,55.019,52.009,48.981,45.96,42.964,43.304,43.646,43.988,44.331,44.673,45.017,45.361,45.706,46.051,46.396,46.742,47.088,47.445,47.813,48.193,48.583,48.985,49.397,49.82,50.254,50.697,51.151,51.615,52.089,52.573,53.065,53.567,54.077,54.596,55.123,55.657,56.199,56.746,57.3,57.859,58.423,58.989,59.556,60.123,60.687,61.248,61.806,62.361,62.913,63.462,64.007,64.548,65.086,65.62,66.15,66.676,67.198,67.716,68.229
mali,8.472,8.704,8.943,9.186,9.436,9.692,9.954,10.222,10.497,10.778,11.066,11.361,11.662,11.97,12.286,12.608,12.938,13.274,13.619,13.971,14.33,14.697,15.072,15.454,15.845,16.244,16.651,17.083,17.54,18.007,18.484,18.97,19.466,19.972,20.488,21.013,21.548,22.069,22.482,22.899,23.322,23.751,24.186,24.624,25.069,25.519,25.975,26.434,26.948,27.646,28.356,29.075,29.806,30.547,31.3,32.06,32.832,33.612,34.403,35.2,35.999,36.799,37.599,38.398,39.196,39.991,40.783,41.572,42.356,43.136,43.909,44.677,45.437,46.189,46.934,47.669,48.395,49.11,49.814,50.507,51.187,51.855,52.508,53.147,53.769,54.372,54.977,55.58,56.181,56.781,57.378,57.974,58.567,59.158,59.746,60.331,60.913,61.492,62.068,62.641,63.21
mauritania,3.102,3.364,3.647,3.952,4.282,4.638,5.023,5.436,5.882,6.363,6.88,7.435,8.031,8.671,9.357,10.09,10.874,11.712,12.606,13.554,14.564,15.636,16.773,17.971,19.237,20.569,21.971,23.327,24.627,25.975,27.371,28.81,30.295,31.822,33.391,34.994,36.634,38.305,39.57,39.447,39.323,39.199,39.075,38.952,38.829,38.705,38.582,38.459,38.337,38.214,38.091,38.616,39.48,40.351,41.229,42.111,42.998,43.89,44.788,45.686,46.588,47.493,48.4,49.306,50.203,51.089,51.962,52.824,53.672,54.507,55.327,56.133,56.923,57.699,58.458,59.201,59.927,60.637,61.329,62.004,62.662,63.302,63.924,64.528,65.113,65.68,66.228,66.756,67.265,67.753,68.238,68.719,69.197,69.67,70.139,70.604,71.065,71.521,71.973,72.421,72.864
niger,4.857,4.943,5.032,5.121,5.213,5.306,5.4,5.496,5.593,5.693,5.793,5.896,6,6.259,6.529,6.809,7.1,7.493,7.906,8.339,8.794,9.271,9.772,10.296,10.845,11.419,12.021,12.648,13.025,13.233,13.443,13.656,13.871,14.09,14.312,14.536,14.763,14.993,15.209,15.289,15.368,15.449,15.529,15.61,15.691,15.773,15.855,15.937,16.02,16.103,16.186,16.26,16.255,16.251,16.247,16.242,16.238,16.234,16.229,16.225,16.221,16.216,16.212,16.208,16.219,16.247,16.29,16.35,16.425,16.517,16.626,16.751,16.894,17.054,17.232,17.428,17.642,17.875,18.128,18.401,18.695,19.01,19.346,19.705,20.087,20.492,20.921,21.375,21.853,22.356,22.868,23.389,23.917,24.454,24.999,25.552,26.113,26.682,27.258,27.842,28.434
nigeria,9.35,9.844,10.361,10.9,11.465,12.055,12.672,13.314,13.984,14.682,15.41,15.633,15.858,16.087,16.318,16.551,16.788,17.027,17.269,17.513,17.76,18.151,18.549,18.952,19.363,19.78,20.205,20.636,21.074,21.518,21.97,22.671,23.389,24.122,24.872,25.635,26.414,27.209,28.019,28.842,29.68,30.176,30.677,31.182,31.691,32.205,32.725,33.247,33.773,34.304,34.84,35.669,36.508,37.356,38.212,39.074,39.943,40.819,41.702,42.588,43.48,44.366,45.246,46.118,46.982,47.838,48.683,49.519,50.344,51.157,51.958,52.746,53.521,54.283,55.03,55.762,56.48,57.181,57.867,58.537,59.189,59.825,60.443,61.042,61.623,62.184,62.724,63.262,63.797,64.328,64.856,65.381,65.902,66.419,66.932,67.441,67.946,68.446,68.943,69.435,69.923
saint helena,51.358,51.143,50.927,50.712,50.497,50.282,50.066,49.851,49.635,49.42,49.204,48.989,48.774,48.559,48.343,48.129,47.914,47.54,47.155,46.771,46.388,46.005,45.622,45.24,44.858,44.477,44.097,43.936,43.886,43.835,43.785,43.735,43.684,43.634,43.583,43.533,43.483,43.357,43.095,42.834,42.573,42.312,42.051,41.791,41.532,41.273,41.014,40.756,40.551,40.458,40.365,40.272,40.179,40.087,39.994,39.901,39.809,39.717,39.624,39.552,39.5,39.468,39.456,39.464,39.492,39.54,39.608,39.696,39.805,39.933,40.082,40.251,40.441,40.651,40.881,41.133,41.404,41.697,42.011,42.345,42.7,43.076,43.474,43.892,44.33,44.77,45.211,45.653,46.095,46.538,46.981,47.425,47.869,48.314,48.759,49.204,49.649,50.094,50.539,50.984,51.429
senegal,17.23,17.751,18.285,18.83,19.388,19.958,20.542,21.137,21.745,22.366,23,23.645,24.303,24.973,25.657,26.351,27.057,27.776,28.507,29.247,30,30.72,31.451,32.189,32.937,33.693,34.372,34.718,35.067,35.417,35.769,36.122,36.476,36.832,37.191,37.549,37.909,38.271,38.613,38.755,38.896,39.038,39.18,39.321,39.464,39.606,39.749,39.891,40.034,40.177,40.32,40.464,40.607,40.898,41.306,41.714,42.124,42.535,42.947,43.359,43.773,44.188,44.603,45.019,45.436,45.862,46.296,46.74,47.192,47.653,48.122,48.6,49.086,49.579,50.08,50.589,51.105,51.628,52.158,52.694,53.237,53.785,54.338,54.896,55.459,56.025,56.595,57.168,57.742,58.316,58.888,59.461,60.03,60.597,61.161,61.723,62.281,62.835,63.387,63.935,64.479
sierra leone,12.56,12.982,13.418,13.864,14.324,14.796,15.282,15.779,16.29,16.814,17.352,17.903,18.467,19.06,19.712,20.379,21.064,21.765,22.484,23.218,23.969,24.737,25.522,26.321,27.137,27.729,28.14,28.554,28.972,29.394,29.819,30.248,30.68,31.115,31.555,31.997,32.325,32.555,32.787,33.019,33.252,33.485,33.72,33.955,34.192,34.429,34.667,34.905,35.144,35.384,35.626,35.867,36.109,36.352,36.596,36.919,37.303,37.689,38.077,38.466,38.856,39.248,39.642,40.036,40.432,40.829,41.228,41.636,42.055,42.484,42.923,43.372,43.831,44.3,44.779,45.268,45.766,46.273,46.789,47.315,47.849,48.391,48.942,49.5,50.065,50.638,51.217,51.802,52.393,52.988,53.587,54.188,54.789,55.39,55.991,56.589,57.186,57.78,58.373,58.962,59.55
togo,4.384,4.775,5.2,5.659,6.157,6.695,7.278,7.905,8.583,9.312,10.098,10.94,11.844,12.811,13.847,14.95,16.125,17.374,18.7,20.098,21.28,21.602,21.929,22.258,22.591,22.927,23.268,23.611,23.958,24.308,24.663,25.02,25.391,25.778,26.169,26.562,26.96,27.362,27.768,28.176,28.589,29.005,29.425,29.848,30.275,30.705,31.139,31.576,32.016,32.46,32.907,33.356,33.809,34.265,34.724,35.185,35.649,36.116,36.587,37.058,37.533,38.032,38.546,39.061,39.579,40.1,40.628,41.162,41.702,42.248,42.8,43.358,43.921,44.49,45.064,45.642,46.226,46.813,47.405,48,48.599,49.2,49.805,50.411,51.019,51.628,52.237,52.847,53.455,54.062,54.665,55.264,55.862,56.459,57.055,57.648,58.239,58.827,59.414,59.997,60.578
china,11.803,12.191,12.591,13.001,13.423,13.856,14.302,14.758,15.227,15.708,16.203,16.708,17.226,17.757,18.299,18.086,17.915,17.785,17.656,17.528,17.4,17.292,17.184,17.184,17.292,17.4,17.46,17.52,17.9,18.617,19.358,20.118,20.902,21.545,22.203,22.874,23.559,24.259,24.974,25.701,26.442,27.312,28.2,29.103,30.024,30.961,31.916,32.883,33.867,34.865,35.877,37.093,38.425,39.776,41.144,42.522,43.868,45.199,46.539,47.88,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,60.308,61.428,62.512,63.56,64.57,65.544,66.481,67.382,68.246,69.074,69.867,70.626,71.35,72.041,72.698,73.324,73.918,74.481,75.014,75.517,75.991,76.436,76.854,77.243,77.605,77.964,78.318,78.668,79.015,79.356,79.694,80.028
hong kong,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.293,85.582,85.867,86.147,86.422,86.692,86.958,87.22,87.476,87.729,88.039,88.474,88.894,89.301,89.695,90.077,90.445,90.801,91.145,91.478,91.794,92.09,92.376,92.653,92.92,94.248,96.86,98.309,99.094,99.517,99.832,99.979,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
macao,96.89,96.758,96.619,96.475,96.325,96.169,96.007,95.838,95.662,95.48,95.289,95.328,95.556,95.773,95.98,96.177,96.365,96.544,96.715,96.877,97.032,97.208,97.397,97.573,97.738,97.891,98.035,98.169,98.294,98.41,98.519,98.655,98.889,99.084,99.244,99.377,99.486,99.576,99.651,99.712,99.763,99.805,99.839,99.867,99.891,99.91,99.98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
taiwan,26.842,27.28,27.722,28.168,28.619,29.074,29.534,29.996,30.464,30.936,31.412,31.891,32.374,32.862,33.353,33.857,34.375,34.897,35.423,35.951,36.484,37.019,37.559,38.101,38.646,39.784,41.538,43.309,45.1,46.904,48.718,50.531,52.344,54.152,55.951,57.73,59.491,61.228,62.94,64.615,66.257,67.166,67.472,67.776,68.079,68.381,68.681,68.979,69.276,69.572,69.866,70.278,70.789,71.295,71.797,72.292,72.782,73.266,73.746,74.219,74.687,75.149,75.603,76.049,76.487,76.916,77.337,77.751,78.156,78.553,78.942,79.323,79.696,80.062,80.42,80.77,81.112,81.447,81.774,82.094,82.406,82.711,83.009,83.3,83.583,83.858,84.127,84.387,84.644,84.898,85.149,85.396,85.64,85.88,86.117,86.35,86.58,86.807,87.031,87.251,87.469
bangladesh,4.282,4.357,4.437,4.519,4.603,4.687,4.774,4.862,4.951,5.042,5.135,5.278,5.498,5.727,5.964,6.211,6.467,6.733,7.009,7.296,7.593,7.901,8.221,8.553,9.034,9.836,10.701,11.63,12.629,13.701,14.851,15.801,16.212,16.631,17.06,17.496,17.941,18.395,18.859,19.33,19.811,20.257,20.61,20.966,21.328,21.693,22.064,22.438,22.818,23.202,23.59,24.096,24.756,25.429,26.114,26.809,27.517,28.237,28.968,29.709,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711,40.473,41.23,41.982,42.727,43.466,44.197,44.92,45.634,46.338,47.031,47.713,48.382,49.038,49.679,50.303,50.928,51.553,52.178,52.802,53.425,54.047,54.668,55.288,55.905,56.521,57.135,57.747,58.356
india,17.042,17.312,17.38,17.447,17.514,17.582,17.65,17.718,17.787,17.855,17.924,18.032,18.218,18.405,18.595,18.785,18.977,19.171,19.366,19.562,19.76,19.991,20.321,20.653,20.991,21.332,21.677,22.026,22.379,22.736,23.098,23.417,23.647,23.879,24.113,24.348,24.585,24.823,25.063,25.305,25.547,25.778,25.984,26.191,26.399,26.607,26.817,27.028,27.24,27.453,27.667,27.918,28.244,28.572,28.903,29.235,29.569,29.906,30.246,30.587,30.93,31.276,31.634,32.003,32.384,32.777,33.182,33.6,34.03,34.472,34.926,35.393,35.872,36.364,36.867,37.383,37.911,38.452,39.004,39.567,40.142,40.728,41.324,41.931,42.547,43.172,43.804,44.441,45.082,45.724,46.369,47.014,47.66,48.307,48.955,49.603,50.251,50.899,51.547,52.194,52.841
maldives,10.612,10.667,10.722,10.778,10.833,10.889,10.945,11.002,11.058,11.115,11.173,11.23,11.288,11.345,11.404,11.458,11.393,11.336,11.516,11.698,11.893,12.842,13.858,14.936,16.085,17.304,18.596,19.958,20.978,21.607,22.25,22.905,23.574,24.257,24.954,25.491,25.57,25.648,25.727,25.806,25.84,25.776,25.713,25.649,25.586,25.638,26.008,26.379,26.755,27.134,27.706,28.859,30.042,31.252,32.49,33.75,34.794,35.2,35.61,36.021,36.434,36.849,37.267,37.685,38.106,38.529,38.954,39.38,39.808,40.238,40.669,41.102,41.536,41.971,42.407,42.845,43.284,43.723,44.163,44.605,45.046,45.489,45.931,46.374,46.817,47.261,47.704,48.146,48.589,49.031,49.471,49.912,50.353,50.794,51.235,51.675,52.116,52.556,52.996,53.435,53.873
sri lanka,15.327,15.317,15.307,15.343,15.494,15.647,15.802,15.957,16.114,16.272,16.431,16.592,16.753,16.916,17.014,17.11,17.207,17.304,17.402,17.5,17.598,17.697,17.796,17.896,17.996,18.097,18.198,18.299,18.401,18.504,18.607,18.676,18.66,18.644,18.629,18.613,18.597,18.582,18.566,18.551,18.535,18.52,18.504,18.489,18.473,18.458,18.442,18.427,18.411,18.396,18.38,18.365,18.349,18.334,18.319,18.303,18.288,18.272,18.257,18.242,18.226,18.211,18.196,18.198,18.218,18.256,18.311,18.384,18.476,18.585,18.713,18.86,19.026,19.211,19.416,19.641,19.887,20.153,20.442,20.752,21.085,21.442,21.822,22.226,22.656,23.111,23.591,24.098,24.63,25.171,25.72,26.276,26.841,27.413,27.992,28.579,29.173,29.775,30.383,30.999,31.621
brunei darussalam,26.756,28.234,29.763,31.333,32.95,34.608,36.307,38.036,39.798,41.587,43.401,45.228,47.07,48.92,50.776,52.625,54.469,56.3,58.118,59.908,61.675,63.412,63.736,63.889,64.041,64.193,64.345,64.496,64.647,64.798,64.949,65.099,65.249,65.399,65.548,65.697,65.846,65.994,66.143,66.29,66.438,66.585,67.078,67.604,68.126,68.644,69.158,69.666,70.17,70.669,71.164,71.652,72.046,72.421,72.794,73.163,73.529,73.892,74.252,74.608,74.961,75.31,75.656,75.997,76.332,76.663,76.99,77.312,77.629,77.942,78.25,78.554,78.854,79.149,79.439,79.726,80.007,80.285,80.559,80.828,81.093,81.353,81.61,81.863,82.111,82.355,82.596,82.832,83.065,83.297,83.525,83.751,83.975,84.196,84.415,84.631,84.845,85.056,85.265,85.471,85.675
cambodia,10.2,10.208,10.217,10.225,10.234,10.242,10.251,10.259,10.268,10.276,10.285,10.293,10.333,10.497,10.662,10.83,11,12.098,13.291,14.579,15.97,18.717,21.818,25.263,29.055,4.477,4.82,5.186,5.578,5.999,9.898,12.742,13.031,13.325,13.626,13.931,14.242,14.559,14.883,15.211,15.546,15.887,16.234,16.587,16.946,17.311,17.683,18.06,18.355,18.47,18.586,18.703,18.82,18.937,19.055,19.174,19.293,19.413,19.571,19.93,20.294,20.663,21.037,21.415,21.799,22.188,22.582,22.98,23.388,23.805,24.232,24.668,25.114,25.57,26.035,26.51,26.995,27.49,27.995,28.51,29.034,29.568,30.112,30.665,31.227,31.798,32.378,32.967,33.564,34.168,34.78,35.397,36.02,36.645,37.277,37.913,38.554,39.198,39.847,40.498,41.153
indonesia,12.4,12.605,12.814,13.024,13.238,13.455,13.676,13.898,14.124,14.353,14.586,14.821,15.058,15.299,15.543,15.789,16.039,16.293,16.549,16.809,17.071,17.338,17.779,18.28,18.793,19.317,19.853,20.398,20.956,21.524,22.104,22.815,23.606,24.415,25.244,26.089,26.953,27.835,28.736,29.651,30.584,31.613,32.703,33.808,34.933,36.076,37.235,38.406,39.593,40.792,42.002,42.783,43.568,44.356,45.149,45.942,46.738,47.535,48.335,49.134,49.914,50.595,51.276,51.955,52.635,53.313,53.989,54.659,55.325,55.985,56.641,57.29,57.934,58.572,59.204,59.828,60.446,61.056,61.659,62.254,62.841,63.42,63.99,64.551,65.103,65.646,66.179,66.702,67.215,67.717,68.207,68.684,69.158,69.629,70.095,70.557,71.016,71.469,71.919,72.364,72.805
laos,7.239,7.307,7.376,7.445,7.515,7.585,7.656,7.728,7.8,7.873,7.946,8.02,8.095,8.17,8.246,8.323,8.4,8.692,8.994,9.304,9.625,9.955,10.295,10.597,10.837,11.081,11.331,11.584,11.843,12.107,12.377,12.65,12.93,13.214,13.504,13.804,14.118,14.439,14.766,15.098,15.437,15.782,16.133,16.49,16.854,17.378,18.234,19.12,20.039,20.991,21.977,22.993,24.044,25.126,26.242,27.186,27.748,28.316,28.893,29.475,30.064,30.66,31.264,31.872,32.487,33.108,33.736,34.368,35.004,35.645,36.29,36.939,37.592,38.247,38.906,39.566,40.229,40.893,41.559,42.225,42.891,43.557,44.222,44.886,45.548,46.207,46.864,47.516,48.163,48.804,49.439,50.063,50.689,51.315,51.941,52.566,53.191,53.814,54.436,55.057,55.677
malaysia,20.361,20.947,21.547,22.158,22.781,23.417,24.066,24.723,25.338,25.962,26.598,27.241,27.895,28.558,29.232,29.913,30.604,31.304,32.013,32.729,33.454,34.271,35.104,35.944,36.794,37.652,38.519,39.391,40.271,41.158,42.044,42.807,43.574,44.345,45.119,45.893,46.671,47.45,48.232,49.012,49.794,50.576,51.814,53.109,54.402,55.688,56.969,58.237,59.496,60.742,61.977,62.922,63.856,64.78,65.694,66.594,67.483,68.36,69.225,70.075,70.912,71.609,72.275,72.93,73.577,74.213,74.84,75.447,76.036,76.607,77.16,77.696,78.214,78.716,79.201,79.67,80.124,80.562,80.984,81.392,81.786,82.165,82.531,82.883,83.223,83.549,83.863,84.164,84.454,84.732,84.998,85.252,85.495,85.735,85.972,86.206,86.436,86.663,86.887,87.107,87.325
myanmar,16.158,16.441,16.729,17.02,17.316,17.616,17.92,18.233,18.559,18.89,19.226,19.566,19.91,20.259,20.613,20.971,21.334,21.701,22.073,22.449,22.83,23.215,23.606,23.903,23.913,23.922,23.933,23.942,23.952,23.962,23.973,23.982,23.993,24.042,24.212,24.381,24.552,24.724,24.896,25.069,25.243,25.418,25.593,25.769,25.946,26.124,26.303,26.482,26.663,26.843,27.025,27.208,27.391,27.575,27.76,27.946,28.132,28.319,28.507,28.695,28.885,29.075,29.266,29.457,29.65,29.858,30.082,30.322,30.579,30.852,31.141,31.448,31.771,32.112,32.47,32.846,33.239,33.65,34.079,34.525,34.99,35.474,35.975,36.494,37.032,37.587,38.16,38.75,39.357,39.98,40.615,41.256,41.9,42.547,43.196,43.848,44.502,45.157,45.815,46.473,47.134
philippines,27.135,27.444,27.756,28.069,28.385,28.702,29.023,29.344,29.668,29.994,30.297,30.555,30.816,31.077,31.34,31.604,31.869,32.135,32.403,32.672,32.979,33.493,34.012,34.533,35.059,35.56,35.917,36.275,36.635,36.997,37.456,38.394,39.343,40.3,41.266,42.235,43.212,44.195,45.183,46.172,46.986,46.901,46.815,46.73,46.645,46.56,46.475,46.39,46.305,46.22,46.135,46.05,45.965,45.88,45.795,45.71,45.625,45.54,45.455,45.371,45.332,45.522,45.712,45.903,46.093,46.284,46.475,46.682,46.907,47.149,47.408,47.684,47.977,48.287,48.614,48.958,49.318,49.695,50.088,50.498,50.924,51.365,51.823,52.295,52.783,53.285,53.802,54.332,54.876,55.432,55.999,56.577,57.162,57.748,58.331,58.912,59.491,60.067,60.64,61.21,61.777
singapore,99.445,99.884,99.976,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
thailand,16.479,16.783,17.091,17.403,17.719,18.041,18.367,18.697,19.032,19.371,19.672,19.781,19.89,20,20.11,20.221,20.332,20.444,20.556,20.668,20.889,21.442,22.006,22.579,23.164,23.758,24.365,24.98,25.606,26.242,26.791,27.049,27.308,27.569,27.832,28.095,28.361,28.628,28.897,29.167,29.424,29.593,29.763,29.934,30.105,30.276,30.449,30.622,30.795,30.969,31.386,32.548,33.734,34.941,36.169,37.411,38.673,39.95,41.242,42.543,43.856,44.698,45.445,46.193,46.943,47.694,48.448,49.2,49.949,50.692,51.43,52.163,52.889,53.608,54.32,55.024,55.721,56.409,57.088,57.759,58.42,59.071,59.713,60.344,60.965,61.574,62.173,62.76,63.335,63.897,64.447,64.984,65.506,66.012,66.517,67.018,67.515,68.008,68.497,68.982,69.463
