country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
mozambique,5.472,5.599,5.728,5.86,5.995,6.133,6.274,6.418,6.565,6.715,6.868,7.051,7.246,7.445,7.65,7.86,8.075,8.296,8.522,8.753,8.99,9.298,9.671,10.056,10.456,10.869,11.297,11.739,12.197,12.669,13.158,14.051,15.035,16.074,17.172,18.326,19.541,20.815,22.152,23.545,25,25.487,25.98,26.479,26.984,27.495,28.013,28.535,28.742,28.92,29.098,29.277,29.457,29.637,29.818,29.999,30.182,30.364,30.832,31.328,31.83,32.336,32.846,33.36,33.878,34.4,34.926,35.455,35.988,36.528,37.074,37.628,38.187,38.753,39.326,39.904,40.487,41.076,41.671,42.27,42.874,43.483,44.095,44.711,45.33,45.953,46.577,47.204,47.832,48.461,49.09,49.718,50.344,50.968,51.586,52.205,52.824,53.442,54.059,54.675,55.29
reunion island,23.493,24.34,25.208,26.093,27,27.926,28.873,29.836,30.819,31.819,32.838,33.871,34.92,35.984,37.064,38.154,39.257,40.371,40.951,41.306,41.662,42.019,42.377,42.735,43.095,44.459,46.255,48.056,49.865,51.673,53.48,55.273,57.628,61.182,64.626,67.916,71.04,73.977,76.718,79.244,81.227,82.302,83.328,84.304,85.235,86.119,86.959,87.754,88.507,89.558,91.169,92.548,93.728,94.732,95.584,96.302,96.907,97.416,97.844,98.201,98.501,98.743,98.94,99.1,99.231,99.339,99.429,99.503,99.564,99.616,99.659,99.696,99.726,99.753,99.775,99.794,99.81,99.823,99.835,99.845,99.853,99.86,99.866,99.87,99.874,99.877,99.879,99.881,99.883,99.884,99.886,99.888,99.89,99.892,99.893,99.895,99.897,99.898,99.9,99.901,99.903
rwanda,2.114,2.158,2.203,2.249,2.296,2.345,2.394,2.444,2.495,2.547,2.6,2.654,2.71,2.766,2.824,2.882,2.942,3.003,3.066,3.129,3.194,3.336,3.491,3.652,3.821,3.998,4.182,4.374,4.575,4.656,4.721,4.786,4.853,4.92,4.988,5.057,5.127,5.198,5.27,5.342,5.416,5.491,6.288,7.313,8.49,9.837,11.374,12.466,13.244,14.064,14.926,15.829,16.777,16.904,16.908,16.912,16.917,16.921,16.925,16.93,16.934,16.938,16.943,16.947,16.967,17.004,17.056,17.125,17.211,17.313,17.432,17.568,17.721,17.892,18.081,18.289,18.515,18.761,19.027,19.313,19.619,19.947,20.297,20.67,21.065,21.485,21.928,22.396,22.888,23.405,23.931,24.465,25.007,25.557,26.115,26.681,27.254,27.835,28.424,29.02,29.624
seychelles,27.399,27.41,27.421,27.432,27.444,27.455,27.466,27.478,27.489,27.5,27.673,28.717,29.786,30.877,31.991,33.123,34.277,35.449,36.641,37.846,39.068,40.337,41.802,43.277,44.767,46.266,47.774,49.282,49.396,49.381,49.366,49.352,49.337,49.322,49.307,49.292,49.277,49.262,49.247,49.25,49.27,49.307,49.362,49.435,49.525,49.633,49.758,49.901,50.061,50.238,50.433,50.646,50.876,51.123,51.388,51.67,51.969,52.285,52.619,52.969,53.336,53.72,54.12,54.537,54.969,55.4,55.831,56.261,56.691,57.119,57.546,57.972,58.396,58.82,59.242,59.663,60.082,60.5,60.917,61.331,61.745,62.156,62.566,62.974,63.38,63.784,64.187,64.587,64.985,65.381,65.775,66.167,66.557,66.944,67.33,67.712,68.093,68.471,68.847,69.22,69.59
somalia,12.726,13.133,13.552,13.98,14.421,14.873,15.338,15.813,16.3,16.8,17.312,17.835,18.372,18.92,19.453,19.964,20.487,21.02,21.563,22.115,22.678,23.251,23.835,24.427,25.03,25.498,25.748,25.999,26.252,26.507,26.763,27.021,27.28,27.541,27.804,28.067,28.333,28.627,28.969,29.312,29.658,30.007,30.359,30.711,31.067,31.425,31.785,32.147,32.511,32.878,33.247,33.617,33.99,34.756,35.531,36.311,37.1,34.404,36.011,37.645,39.31,41,41.558,42.117,42.679,43.245,43.816,44.391,44.971,45.554,46.141,46.731,47.324,47.92,48.519,49.119,49.722,50.326,50.931,51.538,52.144,52.751,53.357,53.962,54.566,55.167,55.767,56.363,56.954,57.54,58.119,58.697,59.273,59.846,60.417,60.985,61.55,62.112,62.671,63.226,63.778
south sudan,8.865,8.853,8.841,8.83,8.818,8.806,8.795,8.783,8.771,8.76,8.748,8.737,8.725,8.714,8.702,8.69,8.679,8.667,8.656,8.645,8.633,8.622,8.61,8.599,8.587,8.576,8.565,8.553,8.542,8.531,8.519,8.508,8.497,8.708,9.261,9.844,10.461,11.111,11.797,12.517,13.276,14.074,14.912,15.626,15.749,15.873,15.997,16.123,16.249,16.376,16.504,16.632,16.761,16.891,17.023,17.154,17.287,17.42,17.555,17.701,17.86,18.032,18.217,18.415,18.626,18.852,19.092,19.346,19.615,19.899,20.199,20.514,20.846,21.195,21.56,21.943,22.344,22.763,23.2,23.656,24.131,24.625,25.138,25.67,26.22,26.779,27.345,27.919,28.5,29.089,29.684,30.287,30.896,31.512,32.135,32.764,33.399,34.04,34.688,35.34,35.999
uganda,2.82,2.95,3.086,3.228,3.377,3.532,3.694,3.863,4.04,4.224,4.417,4.617,4.826,5.045,5.273,5.509,5.757,6.014,6.283,6.562,6.664,6.737,6.812,6.887,6.963,7.04,7.118,7.197,7.276,7.356,7.534,7.834,8.147,8.47,8.805,9.152,9.511,9.882,10.267,10.665,11.076,11.454,11.79,12.133,12.485,12.846,13.216,13.594,13.982,14.379,14.786,15.201,15.626,16.061,16.507,16.96,17.425,17.899,18.384,18.878,19.383,19.898,20.424,20.958,21.504,22.06,22.624,23.196,23.774,24.361,24.954,25.553,26.159,26.771,27.389,28.012,28.64,29.273,29.909,30.55,31.193,31.839,32.487,33.137,33.788,34.438,35.089,35.737,36.384,37.027,37.666,38.296,38.933,39.574,40.218,40.866,41.517,42.171,42.827,43.487,44.148
tanzania,3.491,3.659,3.834,4.017,4.209,4.409,4.619,4.823,4.96,5.101,5.246,5.394,5.547,5.704,5.865,6.03,6.199,6.373,6.804,7.311,7.852,8.431,9.048,9.704,10.403,11.146,11.937,12.773,13.659,14.141,14.555,14.976,15.409,15.851,16.305,16.767,17.241,17.725,18.221,18.565,18.884,19.208,19.536,19.867,20.203,20.543,20.888,21.237,21.59,21.947,22.309,22.674,23.044,23.611,24.223,24.845,25.478,26.121,26.776,27.439,28.114,28.798,29.493,30.196,30.904,31.617,32.333,33.053,33.776,34.5,35.227,35.954,36.682,37.409,38.136,38.862,39.585,40.306,41.024,41.738,42.447,43.151,43.849,44.541,45.225,45.901,46.567,47.223,47.867,48.496,49.128,49.761,50.393,51.026,51.658,52.29,52.92,53.55,54.179,54.807,55.433
zambia,11.5,12.055,12.633,13.234,13.859,14.509,15.185,15.885,16.611,17.364,18.145,18.951,19.785,20.712,22.015,23.372,24.789,26.261,27.791,29.37,30.351,31.241,32.146,33.061,33.992,34.934,35.89,36.855,37.832,38.818,39.815,39.854,39.805,39.755,39.705,39.655,39.606,39.556,39.506,39.456,39.407,38.989,38.514,38.042,37.572,37.104,36.638,36.176,35.716,35.258,34.802,35.002,35.475,35.951,36.43,36.911,37.395,37.881,38.371,38.861,39.355,39.851,40.354,40.865,41.382,41.907,42.438,42.976,43.521,44.072,44.629,45.192,45.761,46.335,46.914,47.498,48.087,48.679,49.276,49.875,50.478,51.083,51.69,52.298,52.906,53.513,54.119,54.721,55.323,55.923,56.522,57.12,57.715,58.307,58.898,59.486,60.071,60.653,61.232,61.808,62.381
zimbabwe,10.644,10.827,11.014,11.203,11.395,11.59,11.788,11.988,12.192,12.398,12.608,12.821,13.082,13.578,14.092,14.62,15.165,15.727,16.306,16.88,17.362,17.855,18.36,18.874,19.4,19.873,20.356,20.846,21.345,21.853,22.371,22.895,23.429,24.069,24.736,25.414,26.105,26.809,27.524,28.25,28.988,29.738,30.499,30.94,31.335,31.732,32.132,32.534,32.939,33.347,33.758,34.17,34.585,34.479,34.294,34.11,33.926,33.743,33.56,33.378,33.196,33.015,32.834,32.654,32.504,32.385,32.296,32.237,32.209,32.21,32.242,32.303,32.395,32.517,32.67,32.853,33.067,33.313,33.589,33.897,34.238,34.61,35.015,35.452,35.923,36.426,36.962,37.532,38.133,38.765,39.403,40.044,40.689,41.337,41.989,42.643,43.299,43.958,44.619,45.282,45.947
